r_d,theta,repetition,kappa,genetic_entropy,phenotype_entropy,rectime
0.05,0.7000000000000001,9,2.4599792775756697,2.887980668734973,0.7730009554156143,313.0
0.05,0.8,0,2.2536561060830342,3.0697583893939693,0.8961560851623692,299.0
0.05,0.8,1,2.13070968414694,2.9897239743234665,0.9009636249250985,217.0
0.05,0.8,2,2.261888008808073,3.0587233811390404,0.8983802838341984,353.0
0.05,0.8,3,2.3117270527600517,3.062200373560415,0.8933058866872308,273.0
0.05,0.8,4,2.16156587676672,3.0535266457440087,0.9054558963351595,196.0
0.05,0.8,5,2.177505304292753,2.9861291435874984,0.9022973121691615,163.0
0.05,0.8,6,2.2958144827085674,3.0388733936089034,0.8910375502686997,309.0
0.05,0.8,7,2.229380779998232,3.1121489440030325,0.9005058163099324,188.0
0.05,0.8,8,2.1883602480560653,3.039154634328557,0.9050657394318267,293.0
0.05,0.8,9,2.2083468518949405,3.0518474265291964,0.901774979812142,205.0
0.05,0.9,0,0.3012948555848652,2.311798384907345,0.9971536467536976,87.0
0.05,0.9,1,0.38427891876989584,2.4032448201993324,0.9967216067129254,91.0
0.05,0.9,2,0.35102155493813714,2.349087822687939,0.9964256194491853,88.0
0.05,0.9,3,0.46310554136821247,2.4950348222833836,0.9958717960398129,90.0
0.05,0.9,4,0.3323531222390735,2.359686043359716,0.9975048631705625,96.0
0.05,0.9,5,0.3244937966799759,2.379480805911412,0.997243949559316,75.0
0.05,0.9,6,0.38465508515124375,2.4836743903243548,0.9963901711246278,74.0
0.05,0.9,7,0.39669108393954083,2.4051223627698466,0.9968899533774115,106.0
0.05,0.9,8,0.3500683122536905,2.376096387920939,0.9973150329252038,111.0
0.05,0.9,9,0.3712874760328394,2.4460567636602817,0.9966662741313108,112.0
0.05,1.0,0,-1.65974566026511,2.6181249050240782,0.9895502314955438,67.0
0.05,1.0,1,-1.6097709343525322,2.574471416878704,0.9890850936580944,74.0
0.05,1.0,2,-1.751675952864283,2.6844350258848215,0.9883514757177458,76.0
0.05,1.0,3,-1.6215293861065834,2.631522320858513,0.9892851576464529,61.0
0.05,1.0,4,-1.6248670631966606,2.605178669701145,0.988086925616406,64.0
0.05,1.0,5,-1.7411376484700654,2.650174313623597,0.9888809108394299,93.0
0.05,1.0,6,-1.6303650870852404,2.604817933569969,0.988149051461453,58.0
0.05,1.0,7,-1.682765452579529,2.6443561302836893,0.9873010694942788,75.0
0.05,1.0,8,-1.662234909231906,2.6576638516851956,0.9882255765558932,67.0
0.05,1.0,9,-1.7622063864237931,2.6732123847637603,0.9867833702586057,71.0
0.1,0.0,0,2.469407381829055,2.380344558831454,0.2700178946342932,67.0
0.1,0.0,1,2.4987496114619923,2.322322397876129,0.24035596834149445,86.0
0.1,0.0,2,2.4682004566452753,2.3038079940514233,0.24544098107159168,77.0
0.1,0.0,3,2.4453969794361967,2.359784604606462,0.263783437424988,89.0
